X,Y,x_m,y_m,dist_to_goal,shot_angle_rad,shot_angle_deg,minute,is_goal,sit_DirectFreekick,sit_FromCorner,sit_OpenPlay,sit_Penalty,sit_SetPiece,type_Head,type_LeftFoot,type_OtherBodyPart,type_RightFoot,act_Aerial,act_BallRecovery,act_BallTouch,act_BlockedPass,act_Chipped,act_CornerAwarded,act_Cross,act_Dispossessed,act_Foul,act_HeadPass,act_LayOff,act_OffsidePass,act_Pass,act_Rebound,act_Standard,act_Tackle,act_TakeOn,act_Throughball,act_Unknown,ha_a,ha_h
0.9159999847412108,0.5690000152587891,96.17999839782713,38.692001037597656,9.990360453915034,0.6416739332207194,36.76520819710665,1,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.8880000305175781,0.4809999847412109,93.24000320434571,32.70799896240234,11.830756159897497,0.5972564302787767,34.22027274202342,2,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
0.909000015258789,0.5029999923706054,95.44500160217285,34.20399948120117,9.557175847017241,0.731345747716494,41.903024708994565,2,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.8480000305175781,0.5070000076293946,89.0400032043457,34.47600051879883,15.967093480379967,0.4504833450009056,25.810794409487684,53,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
0.6809999847412109,0.395,71.50499839782715,26.86,34.24755074935376,0.20838658733851637,11.939671961631307,55,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.889000015258789,0.7230000305175781,93.34500160217284,49.16400207519531,19.125531276016396,0.23753203349016133,13.60958301814637,62,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.7659999847412109,0.3370000076293945,80.42999839782715,22.91600051879883,26.954406378736007,0.24704473375361755,14.154620595015396,8,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.840999984741211,0.3920000076293945,88.30499839782715,26.656000518798827,18.238898181535998,0.36557501611671434,20.94590551891478,13,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.9359999847412108,0.5029999923706054,98.27999839782714,34.20399948120117,6.72309730120992,0.9968448391186048,57.1150021108936,20,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.885,0.5,92.925,34.0,12.075000000000003,0.588607037479526,33.72469903927551,35,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
0.7280000305175781,0.4329999923706055,76.4400032043457,29.443999481201175,28.921109205821946,0.24874928167451946,14.252283996860877,38,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
0.7340000152587891,0.6179999923706054,77.07000160217285,42.02399948120117,29.059755301394812,0.24121433019834634,13.820563078440287,41,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.9459999847412108,0.6140000152587891,99.32999839782714,41.75200103759766,9.6042926993901,0.4845382699602505,27.761997881292874,61,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.8640000152587891,0.405,90.72000160217286,27.540000000000003,15.673224117645537,0.4229080946267303,24.230848944030893,64,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0.953000030517578,0.5520000076293945,100.06500320434569,37.53600051879883,6.071037229507322,0.9947874697669803,56.99712353014595,69,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.894000015258789,0.71,93.87000160217285,48.28,18.10511707599912,0.25355656040862423,14.527720779268073,75,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.874000015258789,0.7140000152587891,91.77000160217284,48.552001037597655,19.667068714090377,0.2537661939882857,14.539731898626895,76,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.745999984741211,0.6809999847412109,78.32999839782715,46.307998962402344,29.373045874038997,0.22591962083055742,12.944240782786778,80,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.8209999847412109,0.3520000076293945,86.20499839782715,23.936000518798824,21.31985391092766,0.3023126785818914,17.321240576037376,90,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.899000015258789,0.5840000152587891,94.39500160217285,39.71200103759766,12.045453369277267,0.5326237039185254,30.517090303157072,91,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.8819999694824219,0.4420000076293945,92.6099967956543,30.056000518798825,13.00258863886003,0.5275294468954947,30.225210875982537,1,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.9080000305175782,0.4509999847412109,95.3400032043457,30.66799896240234,10.218501309223536,0.6604689740268563,37.842084711074456,3,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.8980000305175782,0.6379999923706055,94.29000320434571,43.38399948120117,14.239504121496262,0.39251171040020044,22.489264415392707,5,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.8640000152587891,0.325,90.72000160217286,22.1,18.588392997834582,0.3049081828045331,17.469952013703125,6,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.7519999694824219,0.6990000152587891,78.95999679565429,47.53200103759766,29.346155096773394,0.22115450909030632,12.67121999116215,8,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
